Game,Average 7-Day Viewers,Hours Watched,Date
Starfield,6,571,2023-08-03
Fallout 4,616,102930,2023-08-03
Minecraft,616,102930,2023-08-03
Minecraft Dungeons,26,4388,2023-08-03
Halo Infinite,26,4388,2023-08-03
Starfield,6,571,2023-08-03
Fallout 4,616,102930,2023-08-03
Minecraft,616,102930,2023-08-03
Minecraft Dungeons,26,4388,2023-08-03
Halo Infinite,26,4388,2023-08-03
Starfield,6,571,2023-08-03
Fallout 4,616,102930,2023-08-03
Minecraft,616,102930,2023-08-03
Minecraft Dungeons,26,4388,2023-08-03
Halo Infinite,26,4388,2023-08-03
Starfield,6,571,2023-08-03
Fallout 4,616,102930,2023-08-03
Minecraft,50759,8493730,2023-08-03
Minecraft Dungeons,50759,8493730,2023-08-03
Halo Infinite,2171,363297,2023-08-03
Starfield,6,571,2023-08-03
Fallout 4,616,102930,2023-08-03
Minecraft,50759,8493730,2023-08-03
Minecraft Dungeons,50759,8493730,2023-08-03
Halo Infinite,2171,363297,2023-08-03
Starfield,6,571,2023-08-03
Fallout 4,616,102930,2023-08-03
Minecraft,50759,8493730,2023-08-03
Minecraft Dungeons,26,4388,2023-08-03
Halo Infinite,2171,363297,2023-08-03
