DateTime,Game,Viewer Figure
2023-08-03,Battlegrounds Mobile India,46K
2023-08-03,BeamNG.drive,26K
2023-08-03,Minecraft,22K
2023-08-03,EA SPORTS FIFA 23,22K
2023-08-03,Mobile Legends: Bang Bang,21K
2023-08-03,League of Legends,20K
2023-08-03,Grand Theft Auto V,13K
2023-08-03,PUBG Mobile,10K
2023-08-03,MapleStory,9.2K
2023-08-03,eFootball 2023,8.5K
2023-08-03,Pikmin 4,8.1K
2023-08-03,Garena Free Fire,7.4K
2023-08-03,Teamfight Tactics,6.3K
2023-08-03,Ring Fit Adventure,6.3K
2023-08-03,Fortnite,5.7K
2023-08-03,Roblox,5.2K

2023-08-03,Battlegrounds Mobile India,51K
2023-08-03,BeamNG.drive,26K
2023-08-03,Minecraft,23K
2023-08-03,League of Legends,23K
2023-08-03,EA SPORTS FIFA 23,22K
2023-08-03,Mobile Legends: Bang Bang,21K
2023-08-03,Grand Theft Auto V,14K
2023-08-03,Bejeweled 3,13K
2023-08-03,PUBG Mobile,9.8K
2023-08-03,MapleStory,9.2K
2023-08-03,eFootball 2023,8.5K
2023-08-03,Garena Free Fire,7.6K
2023-08-03,Pikmin 4,6.5K
2023-08-03,Ring Fit Adventure,6.4K
2023-08-03,Teamfight Tactics,6.3K
2023-08-03,Fortnite,5.7K

2023-08-03,Battlegrounds Mobile India,60K
2023-08-03,League of Legends,30K
2023-08-03,Minecraft,30K
2023-08-03,BeamNG.drive,27K
2023-08-03,EA SPORTS FIFA 23,23K
2023-08-03,Mobile Legends: Bang Bang,21K
2023-08-03,Bejeweled 3,13K
2023-08-03,Grand Theft Auto V,13K
2023-08-03,MapleStory,9.5K
2023-08-03,Garena Free Fire,9.1K
2023-08-03,PUBG Mobile,8.8K
2023-08-03,eFootball 2023,8K
2023-08-03,Ring Fit Adventure,6.4K
2023-08-03,Path of Exile,6.2K
2023-08-03,Pikmin 4,6.2K
2023-08-03,Roblox,6K

2023-08-03,Battlegrounds Mobile India,71K
2023-08-03,League of Legends,41K
2023-08-03,Minecraft,38K
2023-08-03,EA SPORTS FIFA 23,24K
2023-08-03,BeamNG.drive,23K
2023-08-03,Mobile Legends: Bang Bang,16K
2023-08-03,Grand Theft Auto V,13K
2023-08-03,Bejeweled 3,13K
2023-08-03,MapleStory,9.8K
2023-08-03,Garena Free Fire,9.1K
2023-08-03,PUBG Mobile,8K
2023-08-03,eFootball 2023,7.8K
2023-08-03,Ring Fit Adventure,6.4K
2023-08-03,Fortnite,6.1K
2023-08-03,Pikmin 4,5.9K
2023-08-03,Roblox,5.6K

2023-08-03,Battlegrounds Mobile India,87K
2023-08-03,League of Legends,60K
2023-08-03,Minecraft,46K
2023-08-03,BeamNG.drive,26K
2023-08-03,EA SPORTS FIFA 23,25K
2023-08-03,Mobile Legends: Bang Bang,16K
2023-08-03,Grand Theft Auto V,14K
2023-08-03,Bejeweled,14K
2023-08-03,Bejeweled 3,13K
2023-08-03,MapleStory,9.9K
2023-08-03,Garena Free Fire,9.4K
2023-08-03,PUBG Mobile,8.4K
2023-08-03,eFootball 2023,7.3K
2023-08-03,Roblox,6.9K
2023-08-03,Ring Fit Adventure,6.5K
2023-08-03,Path of Exile,6.1K

2023-08-03,League of Legends,70K
2023-08-03,Battlegrounds Mobile India,62K
2023-08-03,EA SPORTS FIFA 23,30K
2023-08-03,BeamNG.drive,22K
2023-08-03,Minecraft,21K
2023-08-03,Grand Theft Auto V,17K
2023-08-03,Bejeweled 3,14K
2023-08-03,Mobile Legends: Bang Bang,13K
2023-08-03,PUBG Mobile,11K
2023-08-03,Garena Free Fire,11K
2023-08-03,MapleStory,9.6K
2023-08-03,Ring Fit Adventure,7.6K
2023-08-03,Fortnite,6.8K
2023-08-03,Pikmin 4,6.3K
2023-08-03,Roblox,6K
2023-08-03,eFootball 2023,5.2K

2023-08-03,Battlegrounds Mobile India,71K
2023-08-03,League of Legends,44K
2023-08-03,EA SPORTS FIFA 23,31K
2023-08-03,BeamNG.drive,21K
2023-08-03,Minecraft,21K
2023-08-03,Grand Theft Auto V,18K
2023-08-03,Mobile Legends: Bang Bang,16K
2023-08-03,Bejeweled,14K
2023-08-03,Garena Free Fire,11K
2023-08-03,PUBG Mobile,10K
2023-08-03,MapleStory,9.5K
2023-08-03,Ring Fit Adventure,8.1K
2023-08-03,Fortnite,6.8K
2023-08-03,Roblox,5.9K
2023-08-03,Fate/Grand Order,5.4K
2023-08-03,Payday 3,5.3K

2023-08-03,Battlegrounds Mobile India,86K
2023-08-03,League of Legends,67K
2023-08-03,EA SPORTS FIFA 23,35K
2023-08-03,BeamNG.drive,25K
2023-08-03,Minecraft,21K
2023-08-03,Mobile Legends: Bang Bang,18K
2023-08-03,Grand Theft Auto V,17K
2023-08-03,PUBG Mobile,16K
2023-08-03,Fate/Grand Order,15K
2023-08-03,Bejeweled,14K
2023-08-03,Garena Free Fire,12K
2023-08-03,Fortnite,8.4K
2023-08-03,Roblox,8.1K
2023-08-03,Ring Fit Adventure,7.2K
2023-08-03,MapleStory,6.5K
2023-08-03,Pikmin 4,6.1K

