Game,Average 7-Day Viewers,Hours Watched,Date
GTA V,190781,31924067,2023-08-03
League of Legends,149493,25015190,2023-08-03
Valorant,90608,15161709,2023-08-03
Red Dead Redemption 2,7750,1296871,2023-08-03
PUBG: BATTLEGROUNDS,9403,1571902,2023-08-03
NBA 2K23,5751,962347,2023-08-03
Destiny 2,5482,917356,2023-08-03
Cyberpunk 2077,561,93845,2023-08-03
Roblox,6338,1059461,2023-08-03
Fortnite,56911,9523140,2023-08-03
Among Us,4111,687203,2023-08-03
Rocket League,10775,1803017,2023-08-03
GTA V,138063,23125608,2023-08-07
League of Legends,139941,23440195,2023-08-07
Valorant,105856,17730922,2023-08-07
Red Dead Redemption 2,5796,970821,2023-08-07
PUBG: BATTLEGROUNDS,8760,1467264,2023-08-07
NBA 2K23,7861,1316744,2023-08-07
Destiny 2,4868,815315,2023-08-07
Cyberpunk 2077,545,91330,2023-08-07
Roblox,5593,936840,2023-08-07
Fortnite,55227,9250451,2023-08-07
Among Us,3103,519798,2023-08-07
Rocket League,24016,4022639,2023-08-07
