Date,Game,Peak Players 24hr
2023-08-07,Counter-Strike: Global Offensive,853140
2023-08-07,Dota 2,349843
2023-08-07,Baldur's Gate 3,328173
2023-08-07,PUBG: BATTLEGROUNDS,181164
2023-08-07,Apex Legends,166798
2023-08-07,Grand Theft Auto V,112855
2023-08-07,NARAKA: BLADEPOINT,109981
2023-08-07,Wallpaper Engine,92105
2023-08-07,Team Fortress 2,88470
2023-08-07,Source SDK Base 2007,80460
2023-08-07,Rust,80173
2023-08-07,Unturned,61920
2023-08-07,Call of Duty®,53857
2023-08-07,War Thunder,47131
2023-08-07,Football Manager 2023,41626

2023-08-07,Counter-Strike: Global Offensive,845291
2023-08-07,Dota 2,356139
2023-08-07,Baldur's Gate 3,330232
2023-08-07,PUBG: BATTLEGROUNDS,178110
2023-08-07,Apex Legends,164033
2023-08-07,Grand Theft Auto V,114234
2023-08-07,NARAKA: BLADEPOINT,107194
2023-08-07,Wallpaper Engine,91440
2023-08-07,Team Fortress 2,89012
2023-08-07,Source SDK Base 2007,82734
2023-08-07,Rust,81764
2023-08-07,Unturned,62081
2023-08-07,Call of Duty®,53919
2023-08-07,War Thunder,48322
2023-08-07,Football Manager 2023,42777

