Game,Average 7-Day Viewers,Hours Watched,Date
Call of Duty: Modern Warfare II,10739,1798702,2023-08-07
Call of Duty: Warzone,34712,5814187,2023-08-07
Overwatch 2,17044,2854890,2023-08-07
Diablo IV,13162,2204582,2023-08-07
World of Warcraft,25513,4273428,2023-08-07
Call of Duty: Modern Warfare II,10739,1798702,2023-08-07
Call of Duty: Warzone,34712,5814187,2023-08-07
Overwatch 2,17044,2854890,2023-08-07
Diablo IV,13162,2204582,2023-08-07
World of Warcraft,25513,4273428,2023-08-07
Call of Duty: Modern Warfare II,10739,1798702,2023-08-07
Call of Duty: Warzone,34712,5814187,2023-08-07
Overwatch 2,17044,2854890,2023-08-07
Diablo IV,13162,2204582,2023-08-07
World of Warcraft,25513,4273428,2023-08-07
Call of Duty: Modern Warfare II,11158,1870903,2023-08-09
Call of Duty: Warzone,36875,6182687,2023-08-09
Overwatch 2,16747,2807833,2023-08-09
Diablo IV,10884,1824859,2023-08-09
World of Warcraft,25005,4192471,2023-08-09
