Game,Average 7-Day Viewers,Hours Watched,Date
Madden NFL 23,930,155714,2023-08-07
Battlefield 2042,879,147304,2023-08-07
NHL 23,258,43291,2023-08-07
F1 23,2851,477608,2023-08-07
Star Wars Jedi: Survivor,282,47177,2023-08-07
The Sims 4,2639,442036,2023-08-07
Madden NFL 23,930,155714,2023-08-07
Battlefield 2042,879,147304,2023-08-07
NHL 23,258,43291,2023-08-07
F1 23,2851,477608,2023-08-07
Star Wars Jedi: Survivor,282,47177,2023-08-07
The Sims 4,2639,442036,2023-08-07
Madden NFL 23,930,155714,2023-08-07
Battlefield 2042,879,147304,2023-08-07
NHL 23,258,43291,2023-08-07
F1 23,2851,477608,2023-08-07
Star Wars Jedi: Survivor,282,47177,2023-08-07
The Sims 4,2639,442036,2023-08-07
Madden NFL 23,910,152541,2023-08-09
Battlefield 2042,660,110739,2023-08-09
NHL 23,246,41182,2023-08-09
F1 23,2097,351520,2023-08-09
Star Wars Jedi: Survivor,255,42740,2023-08-09
The Sims 4,2528,423793,2023-08-09
Madden NFL 23,910,152541,2023-08-09
Battlefield 2042,660,110739,2023-08-09
NHL 23,246,41182,2023-08-09
F1 23,2097,351520,2023-08-09
Star Wars Jedi: Survivor,255,42740,2023-08-09
The Sims 4,2528,423793,2023-08-09
