Game,Average 7-Day Viewers,Hours Watched,Date
Rainbow Six Siege,13418,2247584,2023-08-07
The Division 2,472,79084,2023-08-07
Assasins Creed Valhalla,177,29648,2023-08-07
Watch Dogs: Legion,20,3279,2023-08-07
Rainbow Six Siege,13418,2247584,2023-08-07
The Division 2,472,79084,2023-08-07
Assasins Creed Valhalla,177,29648,2023-08-07
Watch Dogs: Legion,20,3279,2023-08-07
Rainbow Six Siege,13418,2247584,2023-08-07
The Division 2,472,79084,2023-08-07
Assasins Creed Valhalla,177,29648,2023-08-07
Watch Dogs: Legion,20,3279,2023-08-07
Rainbow Six Siege,13926,2334945,2023-08-09
The Division 2,471,79037,2023-08-09
Assasins Creed Valhalla,230,38491,2023-08-09
Watch Dogs: Legion,20,3427,2023-08-09
