Steam,Steam,Steam,EA twitch,EA twitch,EA twitch,EA twitch,YT,YT,YT,Fifa+Apex twitch,Fifa+Apex twitch,Fifa+Apex twitch,Fifa+Apex twitch,Other Twitch,Other Twitch,Other Twitch,Other Twitch,ubisoft twitch,ubisoft twitch,ubisoft twitch,ubisoft twitch,activision twitch,activision twitch,activision twitch,activision twitch,microsoft twitch,microsoft twitch,microsoft twitch,microsoft twitch
Date,Game,Peak Players 24hr,Game,Average 7-Day Viewers,Hours Watched,Date,DateTime,Game,Viewer Figure,Game,Average 7-Day Viewers,Hours Watched,Date,Game,Average 7-Day Viewers,Hours Watched,Date,Game,Average 7-Day Viewers,Hours Watched,Date,Game,Average 7-Day Viewers,Hours Watched,Date,Game,Average 7-Day Viewers,Hours Watched,Date
2023-08-07,Counter-Strike: Global Offensive,853140.0,Madden NFL 23,930.0,155714.0,2023-08-07,2023-08-07,Stumble Guys,45K,FIFA 23,21805.0,3652301.0,2023-08-07,GTA V,138063.0,23125608.0,2023-08-07,Rainbow Six Siege,13418.0,2247584.0,2023-08-07,Call of Duty: Modern Warfare II,10739.0,1798702.0,2023-08-07,Starfield,4.0,280.0,2023-08-07
2023-08-07,Dota 2,349843.0,Battlefield 2042,879.0,147304.0,2023-08-07,2023-08-07,League of Legends,38K,Apex Legends,36450.0,6105417.0,2023-08-07,League of Legends,139941.0,23440195.0,2023-08-07,The Division 2,472.0,79084.0,2023-08-07,Call of Duty: Warzone,34712.0,5814187.0,2023-08-07,Fallout 4,653.0,109447.0,2023-08-07
2023-08-07,Baldur's Gate 3,328173.0,NHL 23,258.0,43291.0,2023-08-07,2023-08-07,Mobile Legends: Bang Bang,24K,FIFA 23,21805.0,3652301.0,2023-08-07,Valorant,105856.0,17730922.0,2023-08-07,Assasins Creed Valhalla,177.0,29648.0,2023-08-07,Overwatch 2,17044.0,2854890.0,2023-08-07,Minecraft,50626.0,8479912.0,2023-08-07
2023-08-07,PUBG: BATTLEGROUNDS,181164.0,F1 23,2851.0,477608.0,2023-08-07,2023-08-07,Garena Free Fire,17K,Apex Legends,36450.0,6105417.0,2023-08-07,Red Dead Redemption 2,5796.0,970821.0,2023-08-07,Watch Dogs: Legion,20.0,3279.0,2023-08-07,Diablo IV,13162.0,2204582.0,2023-08-07,Halo Infinite,9012.0,1509428.0,2023-08-07
2023-08-07,Apex Legends,166798.0,Star Wars Jedi: Survivor,282.0,47177.0,2023-08-07,2023-08-07,BeamNG.drive,16K,FIFA 23,21805.0,3652301.0,2023-08-07,PUBG: BATTLEGROUNDS,8760.0,1467264.0,2023-08-07,Rainbow Six Siege,13418.0,2247584.0,2023-08-07,World of Warcraft,25513.0,4273428.0,2023-08-07,Minecraft Dungeons,30.0,4942.0,2023-08-07
2023-08-07,Grand Theft Auto V,112855.0,The Sims 4,2639.0,442036.0,2023-08-07,2023-08-07,Grand Theft Auto V,16K,Apex Legends,36450.0,6105417.0,2023-08-07,NBA 2K23,7861.0,1316744.0,2023-08-07,The Division 2,472.0,79084.0,2023-08-07,Call of Duty: Modern Warfare II,10739.0,1798702.0,2023-08-07,Starfield,4.0,280.0,2023-08-07
2023-08-07,NARAKA: BLADEPOINT,109981.0,Madden NFL 23,930.0,155714.0,2023-08-07,2023-08-07,Battlegrounds Mobile India,16K,FIFA 23,21360.0,3581375.0,2023-08-09,Destiny 2,4868.0,815315.0,2023-08-07,Assasins Creed Valhalla,177.0,29648.0,2023-08-07,Call of Duty: Warzone,34712.0,5814187.0,2023-08-07,Fallout 4,653.0,109447.0,2023-08-07
2023-08-07,Wallpaper Engine,92105.0,Battlefield 2042,879.0,147304.0,2023-08-07,2023-08-07,Valorant,14K,Apex Legends,37530.0,6292448.0,2023-08-09,Cyberpunk 2077,545.0,91330.0,2023-08-07,Watch Dogs: Legion,20.0,3279.0,2023-08-07,Overwatch 2,17044.0,2854890.0,2023-08-07,Minecraft,50626.0,8479912.0,2023-08-07
2023-08-07,Team Fortress 2,88470.0,NHL 23,258.0,43291.0,2023-08-07,2023-08-07,PUBG Mobile,12K,FIFA 23,21360.0,3581375.0,2023-08-09,Roblox,5593.0,936840.0,2023-08-07,Rainbow Six Siege,13418.0,2247584.0,2023-08-07,Diablo IV,13162.0,2204582.0,2023-08-07,Halo Infinite,9012.0,1509428.0,2023-08-07
