Game,Average 7-Day Viewers,Hours Watched,Date
FIFA 23,21671,3608182,2023-07-25 13:55:25
Madden NFL 23,1158,192852,2023-07-25 13:55:25
Battlefield 2042,759,126392,2023-07-25 13:55:25
NHL 23,276,45998,2023-07-25 13:55:25
F1 23,3173,528232,2023-07-25 13:55:25
Star Wars Jedi: Survivor,277,46105,2023-07-25 13:55:25
FIFA 23,21657,3605897,2023-07-26 10:53:49
Madden NFL 23,1153,192034,2023-07-26 10:53:49
Battlefield 2042,720,119863,2023-07-26 10:53:49
NHL 23,280,46631,2023-07-26 10:53:49
F1 23,3205,533690,2023-07-26 10:53:49
Star Wars Jedi: Survivor,286,47561,2023-07-26 10:53:49
FIFA 23,21657,3605897,2023-07-26 10:57:15
Madden NFL 23,1153,192034,2023-07-26 10:57:15
Battlefield 2042,720,119863,2023-07-26 10:57:15
NHL 23,280,46631,2023-07-26 10:57:15
F1 23,3205,533690,2023-07-26 10:57:15
Star Wars Jedi: Survivor,286,47561,2023-07-26 10:57:15
FIFA 23,21657,3605897,2023-07-26 10:57:57
Madden NFL 23,1153,192034,2023-07-26 10:57:57
Battlefield 2042,720,119863,2023-07-26 10:57:57
NHL 23,280,46631,2023-07-26 10:57:57
F1 23,3205,533690,2023-07-26 10:57:57
Star Wars Jedi: Survivor,286,47561,2023-07-26 10:57:57
FIFA 23,21657,3605897,2023-07-26 10:58:52
Madden NFL 23,1153,192034,2023-07-26 10:58:52
Battlefield 2042,720,119863,2023-07-26 10:58:52
NHL 23,280,46631,2023-07-26 10:58:52
F1 23,3205,533690,2023-07-26 10:58:52
Star Wars Jedi: Survivor,286,47561,2023-07-26 10:58:52
FIFA 23,21657,3605897,2023-07-26 11:30:18
Madden NFL 23,1153,192034,2023-07-26 11:30:18
Battlefield 2042,720,119863,2023-07-26 11:30:18
NHL 23,280,46631,2023-07-26 11:30:18
F1 23,3205,533690,2023-07-26 11:30:18
Star Wars Jedi: Survivor,286,47561,2023-07-26 11:30:18
The Sims 4,4001,666175,2023-07-26 11:30:18
FIFA 23,21657,3605897,2023-07-26 11:31:11
Madden NFL 23,1153,192034,2023-07-26 11:31:11
Battlefield 2042,720,119863,2023-07-26 11:31:11
NHL 23,280,46631,2023-07-26 11:31:11
F1 23,3205,533690,2023-07-26 11:31:11
Star Wars Jedi: Survivor,286,47561,2023-07-26 11:31:11
The Sims 4,4001,666175,2023-07-26 11:31:11
Apex Legends,44224,7363282,2023-07-26 11:31:11
FIFA 23,21657,3605897,2023-07-26 11:31:43
Madden NFL 23,1153,192034,2023-07-26 11:31:43
Battlefield 2042,720,119863,2023-07-26 11:31:43
NHL 23,280,46631,2023-07-26 11:31:43
F1 23,3205,533690,2023-07-26 11:31:43
Star Wars Jedi: Survivor,286,47561,2023-07-26 11:31:43
FIFA 23,21657,3605897,2023-07-26 11:32:59
Madden NFL 23,1153,192034,2023-07-26 11:32:59
Battlefield 2042,720,119863,2023-07-26 11:32:59
NHL 23,280,46631,2023-07-26 11:32:59
F1 23,3205,533690,2023-07-26 11:32:59
Star Wars Jedi: Survivor,286,47561,2023-07-26 11:32:59
FIFA 23,21657,3605897,2023-07-26 13:02:13
Madden NFL 23,1153,192034,2023-07-26 13:02:13
Battlefield 2042,720,119863,2023-07-26 13:02:13
NHL 23,280,46631,2023-07-26 13:02:13
F1 23,3205,533690,2023-07-26 13:02:13
Star Wars Jedi: Survivor,286,47561,2023-07-26 13:02:13
FIFA 23,21657,3605897,2023-07-26 13:11:57
Madden NFL 23,1153,192034,2023-07-26 13:11:57
Battlefield 2042,720,119863,2023-07-26 13:11:57
NHL 23,280,46631,2023-07-26 13:11:57
F1 23,3205,533690,2023-07-26 13:11:57
Star Wars Jedi: Survivor,286,47561,2023-07-26 13:11:57
The Sims 4,286,47561,2023-07-26 13:11:57
Apex Legends,44224,7363282,2023-07-26 13:11:57
FIFA 23,21657,3605897,2023-07-26 13:13:33
Madden NFL 23,1153,192034,2023-07-26 13:13:33
Battlefield 2042,720,119863,2023-07-26 13:13:33
NHL 23,280,46631,2023-07-26 13:13:33
F1 23,3205,533690,2023-07-26 13:13:33
Star Wars Jedi: Survivor,286,47561,2023-07-26 13:13:33
The Sims 4,4001,666175,2023-07-26 13:13:33
Apex Legends,44224,7363282,2023-07-26 13:13:33
FIFA 23,21657,3605897,2023-07-26 13:13:45
Madden NFL 23,1153,192034,2023-07-26 13:13:45
Battlefield 2042,720,119863,2023-07-26 13:13:45
NHL 23,280,46631,2023-07-26 13:13:45
F1 23,3205,533690,2023-07-26 13:13:45
Star Wars Jedi: Survivor,286,47561,2023-07-26 13:13:45
The Sims 4,4001,666175,2023-07-26 13:13:45
Apex Legends,44224,7363282,2023-07-26 13:13:45
FIFA 23,21125,3517275,2023-07-27 09:27:35
Madden NFL 23,1051,174752,2023-07-27 09:27:35
Battlefield 2042,659,109665,2023-07-27 09:27:35
NHL 23,280,46576,2023-07-27 09:27:35
F1 23,3333,554327,2023-07-27 09:27:35
Star Wars Jedi: Survivor,287,47762,2023-07-27 09:27:35
The Sims 4,3890,647050,2023-07-27 09:27:35
Apex Legends,43860,7302710,2023-07-27 09:27:35
FIFA 23,21125,3517275,2023-07-27 09:50:10
Madden NFL 23,1051,174752,2023-07-27 09:50:10
Battlefield 2042,659,109665,2023-07-27 09:50:10
NHL 23,280,46576,2023-07-27 09:50:10
F1 23,3333,554327,2023-07-27 09:50:10
Star Wars Jedi: Survivor,287,47762,2023-07-27 09:50:10
The Sims 4,3890,647050,2023-07-27 09:50:10
Apex Legends,43860,7302710,2023-07-27 09:50:10
FIFA 23,21125,3517275,2023-07-27 09:57:02
Madden NFL 23,1051,174752,2023-07-27 09:57:02
