Game,Average 7-Day Viewers,Hours Watched,Date
Diablo IV,23893,3994031,2023-08-01 08:28:47
GTA V,229501,38364983,2023-08-01 08:28:47
League of Legends,154742,25867732,2023-08-01 08:28:47
Valorant,89279,14924454,2023-08-01 08:28:47
Red Dead Redemption 2,7164,1197576,2023-08-01 08:28:47
PUBG: BATTLEGROUNDS,9820,1639903,2023-08-01 08:28:47
NBA 2K23,5275,881784,2023-08-01 08:28:47
Minecraft,50285,8405939,2023-08-01 08:28:47
Diablo IV,23893,3994031,2023-08-01 08:29:58
GTA V,229501,38364983,2023-08-01 08:29:58
League of Legends,154742,25867732,2023-08-01 08:29:58
Valorant,89279,14924454,2023-08-01 08:29:58
Red Dead Redemption 2,7164,1197576,2023-08-01 08:29:58
PUBG: BATTLEGROUNDS,9820,1639903,2023-08-01 08:29:58
NBA 2K23,5275,881784,2023-08-01 08:29:58
Minecraft,50285,8405939,2023-08-01 08:29:58
Diablo IV,23893,3994031,2023-08-01 09:16:20
GTA V,229501,38364983,2023-08-01 09:16:20
League of Legends,154742,25867732,2023-08-01 09:16:20
Valorant,89279,14924454,2023-08-01 09:16:20
Red Dead Redemption 2,7164,1197576,2023-08-01 09:16:20
PUBG: BATTLEGROUNDS,9820,1639903,2023-08-01 09:16:20
NBA 2K23,5275,881784,2023-08-01 09:16:20
Minecraft,50285,8405939,2023-08-01 09:16:20
Diablo IV,23893,3994031,2023-08-01 09:29:08
GTA V,229501,38364983,2023-08-01 09:29:08
League of Legends,154742,25867732,2023-08-01 09:29:08
Valorant,89279,14924454,2023-08-01 09:29:08
Red Dead Redemption 2,7164,1197576,2023-08-01 09:29:08
PUBG: BATTLEGROUNDS,9820,1639903,2023-08-01 09:29:08
NBA 2K23,5275,881784,2023-08-01 09:29:08
Minecraft,50285,8405939,2023-08-01 09:29:08
