Date,Game,Peak Players 24hr
2023-08-03,Counter-Strike: Global Offensive,860315
2023-08-03,Dota 2,311291
2023-08-03,PUBG: BATTLEGROUNDS,189320
2023-08-03,Apex Legends,183247
2023-08-03,NARAKA: BLADEPOINT,120746
2023-08-03,Grand Theft Auto V,106527
2023-08-03,Wallpaper Engine,90787
2023-08-03,Team Fortress 2,81173
2023-08-03,Source SDK Base 2007,72046
2023-08-03,Unturned,65710
2023-08-03,Call of Duty®,59310
2023-08-03,Rust,47516
2023-08-03,Don't Starve Together,43021
2023-08-03,War Thunder,42398
2023-08-03,Remnant II,42057

2023-08-03,Counter-Strike: Global Offensive,860315
2023-08-03,Dota 2,311291
2023-08-03,PUBG: BATTLEGROUNDS,189320
2023-08-03,Apex Legends,183247
2023-08-03,NARAKA: BLADEPOINT,120746
2023-08-03,Grand Theft Auto V,106527
2023-08-03,Wallpaper Engine,90787
2023-08-03,Team Fortress 2,81173
2023-08-03,Source SDK Base 2007,72046
2023-08-03,Unturned,65710
2023-08-03,Call of Duty®,59310
2023-08-03,Rust,47516
2023-08-03,Don't Starve Together,43021
2023-08-03,War Thunder,42398
2023-08-03,Remnant II,42057

2023-08-03,Counter-Strike: Global Offensive,861788
2023-08-03,Dota 2,313534
2023-08-03,PUBG: BATTLEGROUNDS,190039
2023-08-03,Apex Legends,184082
2023-08-03,NARAKA: BLADEPOINT,120719
2023-08-03,Grand Theft Auto V,107162
2023-08-03,Wallpaper Engine,91089
2023-08-03,Team Fortress 2,81267
2023-08-03,Source SDK Base 2007,72219
2023-08-03,Unturned,65860
2023-08-03,Call of Duty®,59174
2023-08-03,Rust,47827
2023-08-03,War Thunder,42659
2023-08-03,Remnant II,41812
2023-08-03,Don't Starve Together,40723

2023-08-03,Counter-Strike: Global Offensive,871678
2023-08-03,Dota 2,316302
2023-08-03,PUBG: BATTLEGROUNDS,190746
2023-08-03,Apex Legends,184225
2023-08-03,NARAKA: BLADEPOINT,120735
2023-08-03,Grand Theft Auto V,107582
2023-08-03,Wallpaper Engine,91198
2023-08-03,Team Fortress 2,80884
2023-08-03,Source SDK Base 2007,72032
2023-08-03,Unturned,65857
2023-08-03,Call of Duty®,59091
2023-08-03,Rust,48065
2023-08-03,War Thunder,43006
2023-08-03,Remnant II,41642
2023-08-03,Sid Meier's Civilization VI,38486

2023-08-03,Counter-Strike: Global Offensive,870298
2023-08-03,Dota 2,319043
2023-08-03,PUBG: BATTLEGROUNDS,191230
2023-08-03,Apex Legends,183815
2023-08-03,NARAKA: BLADEPOINT,120613
2023-08-03,Grand Theft Auto V,107938
2023-08-03,Wallpaper Engine,91518
2023-08-03,Team Fortress 2,81046
2023-08-03,Source SDK Base 2007,72700
2023-08-03,Unturned,66055
2023-08-03,Call of Duty®,59138
2023-08-03,Rust,48234
2023-08-03,War Thunder,43445
2023-08-03,Remnant II,41359
2023-08-03,Sid Meier's Civilization VI,38632

2023-08-03,Counter-Strike: Global Offensive,876531
2023-08-03,Dota 2,333564
2023-08-03,PUBG: BATTLEGROUNDS,191623
2023-08-03,Apex Legends,182572
2023-08-03,NARAKA: BLADEPOINT,120093
2023-08-03,Grand Theft Auto V,112205
2023-08-03,Wallpaper Engine,92244
2023-08-03,Team Fortress 2,80979
2023-08-03,Source SDK Base 2007,75726
2023-08-03,Unturned,66526
2023-08-03,Call of Duty®,59625
2023-08-03,Rust,49836
2023-08-03,War Thunder,45451
2023-08-03,Remnant II,40622
2023-08-03,Sid Meier's Civilization VI,39444

2023-08-03,Counter-Strike: Global Offensive,875455
2023-08-03,Dota 2,335358
2023-08-03,PUBG: BATTLEGROUNDS,191802
2023-08-03,Apex Legends,182589
2023-08-03,NARAKA: BLADEPOINT,119776
2023-08-03,Grand Theft Auto V,112750
2023-08-03,Wallpaper Engine,92586
2023-08-03,Team Fortress 2,81055
2023-08-03,Source SDK Base 2007,76383
2023-08-03,Unturned,66570
2023-08-03,Call of Duty®,59727
2023-08-03,Rust,50093
2023-08-03,War Thunder,45586
2023-08-03,Remnant II,40543
2023-08-03,Football Manager 2023,39856

