DateTime,Game,Viewer Figure
2023-06-29 15:56:54,PUBG Mobile,67K
2023-06-29 15:56:54,Battlegrounds Mobile India,64K
2023-06-29 15:56:54,Valorant,42K
2023-06-29 15:56:54,League of Legends,34K
2023-06-29 15:56:54,Minecraft,28K
2023-06-29 15:56:54,Mobile Legends: Bang Bang,22K
2023-06-29 15:56:54,Garena Free Fire,21K
2023-06-29 15:56:54,BeamNG.drive,21K

2023-06-29 15:57:37,PUBG Mobile,68K
2023-06-29 15:57:37,Battlegrounds Mobile India,64K
2023-06-29 15:57:37,Valorant,42K
2023-06-29 15:57:37,League of Legends,34K
2023-06-29 15:57:37,Minecraft,28K
2023-06-29 15:57:37,Mobile Legends: Bang Bang,22K
2023-06-29 15:57:37,Garena Free Fire,21K
2023-06-29 15:57:37,BeamNG.drive,21K

2023-06-29 16:01:55,PUBG Mobile,93K
2023-06-29 16:01:55,Battlegrounds Mobile India,46K
2023-06-29 16:01:55,Valorant,41K
2023-06-29 16:01:55,League of Legends,37K
2023-06-29 16:01:55,Minecraft,29K
2023-06-29 16:01:55,Garena Free Fire,22K
2023-06-29 16:01:55,Resident Evil 2,20K
2023-06-29 16:01:55,Mobile Legends: Bang Bang,19K

2023-06-29 16:14:01,PUBG Mobile,95K
2023-06-29 16:14:01,Battlegrounds Mobile India,48K
2023-06-29 16:14:01,League of Legends,35K
2023-06-29 16:14:01,Minecraft,32K
2023-06-29 16:14:01,Valorant,29K
2023-06-29 16:14:01,Mobile Legends: Bang Bang,24K
2023-06-29 16:14:01,Garena Free Fire,22K
2023-06-29 16:14:01,BeamNG.drive,17K

2023-06-29 16:15:58,PUBG Mobile,97K
2023-06-29 16:15:58,Battlegrounds Mobile India,45K
2023-06-29 16:15:58,League of Legends,36K
2023-06-29 16:15:58,Minecraft,31K
2023-06-29 16:15:58,Valorant,29K
2023-06-29 16:15:58,Mobile Legends: Bang Bang,25K
2023-06-29 16:15:58,Garena Free Fire,22K
2023-06-29 16:15:58,BeamNG.drive,17K
2023-06-29 16:15:58,Apex Legends,15K
2023-06-29 16:15:58,StarCraft: Remastered,14K
2023-06-29 16:15:58,Resident Evil 2,12K
2023-06-29 16:15:58,Roblox,10K
2023-06-29 16:15:58,[Chilla's Art] Night Security | 夜間警備,10K
2023-06-29 16:15:58,Higgs Domino Island,10K
2023-06-29 16:15:58,Final Fantasy XVI,10K
2023-06-29 16:15:58,Pikmin 4,9.9K

2023-06-29 17:13:00,Battlegrounds Mobile India,88K
2023-06-29 17:13:00,PUBG Mobile,54K
2023-06-29 17:13:00,Mobile Legends: Bang Bang,30K
2023-06-29 17:13:00,Valorant,27K
2023-06-29 17:13:00,Garena Free Fire,26K
2023-06-29 17:13:00,Minecraft,25K
2023-06-29 17:13:00,League of Legends,22K
2023-06-29 17:13:00,Free Fire MAX,17K
2023-06-29 17:13:00,Apex Legends,15K
2023-06-29 17:13:00,FIFA Mobile,12K
2023-06-29 17:13:00,Diablo IV,12K
2023-06-29 17:13:00,TRAIN CREW,11K
2023-06-29 17:13:00,BeamNG.drive,11K
2023-06-29 17:13:00,StarCraft: Remastered,10K
2023-06-29 17:13:00,Roblox,10K
2023-06-29 17:13:00,Animal Crossing: City Folk,9.6K

