Steam,Steam,Steam,EA twitch,EA twitch,EA twitch,EA twitch,YT,YT,YT,Fifa+Apex twitch,Fifa+Apex twitch,Fifa+Apex twitch,Fifa+Apex twitch,Other Twitch,Other Twitch,Other Twitch,Other Twitch,ubisoft twitch,ubisoft twitch,ubisoft twitch,ubisoft twitch,activision twitch,activision twitch,activision twitch,activision twitch,microsoft twitch,microsoft twitch,microsoft twitch,microsoft twitch
Date,Game,Peak Players 24hr,Game,Average 7-Day Viewers,Hours Watched,Date,DateTime,Game,Viewer Figure,Game,Average 7-Day Viewers,Hours Watched,Date,Game,Average 7-Day Viewers,Hours Watched,Date,Game,Average 7-Day Viewers,Hours Watched,Date,Game,Average 7-Day Viewers,Hours Watched,Date,Game,Average 7-Day Viewers,Hours Watched,Date
2023-08-03,Counter-Strike: Global Offensive,860315.0,Madden NFL 23,907.0,151693.0,2023-08-03,2023-08-03,Battlegrounds Mobile India,46K,FIFA 23,20544.0,3437697.0,2023-08-03,GTA V,190781.0,31924067.0,2023-08-03,Rainbow Six Siege,11635.0,1946954.0,2023-08-03,Call of Duty: Modern Warfare II,10557.0,1766463.0,2023-08-03,Starfield,6.0,571.0,2023-08-03
2023-08-03,Dota 2,311291.0,Battlefield 2042,944.0,157985.0,2023-08-03,2023-08-03,BeamNG.drive,26K,Apex Legends,35625.0,5961295.0,2023-08-03,League of Legends,149493.0,25015190.0,2023-08-03,The Division 2,11635.0,1946954.0,2023-08-03,Call of Duty: Warzone,31363.0,5248093.0,2023-08-03,Fallout 4,616.0,102930.0,2023-08-03
2023-08-03,PUBG: BATTLEGROUNDS,189320.0,NHL 23,258.0,43103.0,2023-08-03,2023-08-03,Minecraft,22K,FIFA 23,20544.0,3437697.0,2023-08-03,Valorant,90608.0,15161709.0,2023-08-03,Assasins Creed Valhalla,148.0,24729.0,2023-08-03,Overwatch 2,18377.0,3075084.0,2023-08-03,Minecraft,616.0,102930.0,2023-08-03
2023-08-03,Apex Legends,183247.0,F1 23,2662.0,444944.0,2023-08-03,2023-08-03,EA SPORTS FIFA 23,22K,Apex Legends,35625.0,5961295.0,2023-08-03,Red Dead Redemption 2,7750.0,1296871.0,2023-08-03,Assasin Creed Mirage,148.0,24729.0,2023-08-03,Diablo IV,20329.0,3401670.0,2023-08-03,Minecraft Dungeons,26.0,4388.0,2023-08-03
2023-08-03,NARAKA: BLADEPOINT,120746.0,Star Wars Jedi: Survivor,262.0,43736.0,2023-08-03,2023-08-03,Mobile Legends: Bang Bang,21K,FIFA 23,20544.0,3437697.0,2023-08-03,PUBG: BATTLEGROUNDS,9403.0,1571902.0,2023-08-03,Watch Dogs: Legion,61.0,10206.0,2023-08-03,World of Warcraft,26170.0,4379071.0,2023-08-03,Halo Infinite,26.0,4388.0,2023-08-03
2023-08-03,Grand Theft Auto V,106527.0,The Sims 4,3049.0,509626.0,2023-08-03,2023-08-03,League of Legends,20K,Apex Legends,35625.0,5961295.0,2023-08-03,NBA 2K23,5751.0,962347.0,2023-08-03,Rainbow Six Siege,11635.0,1946954.0,2023-08-03,Call of Duty: Modern Warfare II,10557.0,1766463.0,2023-08-03,Starfield,6.0,571.0,2023-08-03
2023-08-03,Wallpaper Engine,90787.0,Madden NFL 23,907.0,151693.0,2023-08-03,2023-08-03,Grand Theft Auto V,13K,,,,,Destiny 2,5482.0,917356.0,2023-08-03,The Division 2,470.0,78579.0,2023-08-03,Call of Duty: Warzone,31363.0,5248093.0,2023-08-03,Fallout 4,616.0,102930.0,2023-08-03
2023-08-03,Team Fortress 2,81173.0,Battlefield 2042,944.0,157985.0,2023-08-03,2023-08-03,PUBG Mobile,10K,,,,,Cyberpunk 2077,561.0,93845.0,2023-08-03,Assasins Creed Valhalla,470.0,78579.0,2023-08-03,Overwatch 2,18377.0,3075084.0,2023-08-03,Minecraft,616.0,102930.0,2023-08-03
2023-08-03,Source SDK Base 2007,72046.0,NHL 23,258.0,43103.0,2023-08-03,2023-08-03,MapleStory,9.2K,,,,,Roblox,6338.0,1059461.0,2023-08-03,Assasin Creed Mirage,0.0,0.0,2023-08-03,Diablo IV,20329.0,3401670.0,2023-08-03,Minecraft Dungeons,26.0,4388.0,2023-08-03
2023-08-03,Unturned,65710.0,F1 23,2662.0,444944.0,2023-08-03,2023-08-03,eFootball 2023,8.5K,,,,,Fortnite,56911.0,9523140.0,2023-08-03,Watch Dogs: Legion,0.0,0.0,2023-08-03,World of Warcraft,26170.0,4379071.0,2023-08-03,Halo Infinite,26.0,4388.0,2023-08-03
2023-08-03,Call of Duty®,59310.0,Star Wars Jedi: Survivor,262.0,43736.0,2023-08-03,2023-08-03,Pikmin 4,8.1K,,,,,Among Us,4111.0,687203.0,2023-08-03,Rainbow Six Siege,11635.0,1946954.0,2023-08-03,Call of Duty: Modern Warfare II,10557.0,1766463.0,2023-08-03,Starfield,6.0,571.0,2023-08-03
2023-08-03,Rust,47516.0,The Sims 4,262.0,43736.0,2023-08-03,2023-08-03,Garena Free Fire,7.4K,,,,,Rocket League,10775.0,1803017.0,2023-08-03,The Division 2,470.0,78579.0,2023-08-03,Call of Duty: Warzone,31363.0,5248093.0,2023-08-03,Fallout 4,616.0,102930.0,2023-08-03
2023-08-03,Don't Starve Together,43021.0,Madden NFL 23,907.0,151693.0,2023-08-03,2023-08-03,Teamfight Tactics,6.3K,,,,,GTA V,190781.0,31924067.0,2023-08-03,Assasins Creed Valhalla,470.0,78579.0,2023-08-03,Overwatch 2,18377.0,3075084.0,2023-08-03,Minecraft,616.0,102930.0,2023-08-03
2023-08-03,War Thunder,42398.0,Battlefield 2042,944.0,157985.0,2023-08-03,2023-08-03,Ring Fit Adventure,6.3K,,,,,League of Legends,149493.0,25015190.0,2023-08-03,Assasin Creed Mirage,0.0,0.0,2023-08-03,Diablo IV,20329.0,3401670.0,2023-08-03,Minecraft Dungeons,26.0,4388.0,2023-08-03
2023-08-03,Remnant II,42057.0,NHL 23,258.0,43103.0,2023-08-03,2023-08-03,Fortnite,5.7K,,,,,Valorant,90608.0,15161709.0,2023-08-03,Watch Dogs: Legion,0.0,0.0,2023-08-03,World of Warcraft,26170.0,4379071.0,2023-08-03,Halo Infinite,26.0,4388.0,2023-08-03
2023-08-03,Counter-Strike: Global Offensive,860315.0,F1 23,2662.0,444944.0,2023-08-03,2023-08-03,Roblox,5.2K,,,,,Red Dead Redemption 2,7750.0,1296871.0,2023-08-03,Rainbow Six Siege,11635.0,1946954.0,2023-08-03,Call of Duty: Modern Warfare II,10557.0,1766463.0,2023-08-03,Starfield,6.0,571.0,2023-08-03
2023-08-03,Dota 2,311291.0,Star Wars Jedi: Survivor,262.0,43736.0,2023-08-03,2023-08-03,Battlegrounds Mobile India,51K,,,,,PUBG: BATTLEGROUNDS,9403.0,1571902.0,2023-08-03,The Division 2,470.0,78579.0,2023-08-03,Call of Duty: Warzone,31363.0,5248093.0,2023-08-03,Fallout 4,616.0,102930.0,2023-08-03
2023-08-03,PUBG: BATTLEGROUNDS,189320.0,The Sims 4,3049.0,509626.0,2023-08-03,2023-08-03,BeamNG.drive,26K,,,,,NBA 2K23,5751.0,962347.0,2023-08-03,Assasins Creed Valhalla,148.0,24729.0,2023-08-03,Overwatch 2,18377.0,3075084.0,2023-08-03,Minecraft,50759.0,8493730.0,2023-08-03
2023-08-03,Apex Legends,183247.0,Madden NFL 23,907.0,151693.0,2023-08-03,2023-08-03,Minecraft,23K,,,,,Destiny 2,5482.0,917356.0,2023-08-03,Assasin Creed Mirage,0.0,0.0,2023-08-03,Diablo IV,18377.0,3075084.0,2023-08-03,Minecraft Dungeons,50759.0,8493730.0,2023-08-03
2023-08-03,NARAKA: BLADEPOINT,120746.0,Battlefield 2042,907.0,151693.0,2023-08-03,2023-08-03,League of Legends,23K,,,,,Cyberpunk 2077,5482.0,917356.0,2023-08-03,Watch Dogs: Legion,0.0,0.0,2023-08-03,World of Warcraft,26170.0,4379071.0,2023-08-03,Halo Infinite,2171.0,363297.0,2023-08-03
2023-08-03,Grand Theft Auto V,106527.0,NHL 23,258.0,43103.0,2023-08-03,2023-08-03,EA SPORTS FIFA 23,22K,,,,,Roblox,6338.0,1059461.0,2023-08-03,Rainbow Six Siege,11635.0,1946954.0,2023-08-03,Call of Duty: Modern Warfare II,10557.0,1766463.0,2023-08-03,,,,
2023-08-03,Wallpaper Engine,90787.0,F1 23,258.0,43103.0,2023-08-03,2023-08-03,Mobile Legends: Bang Bang,21K,,,,,Fortnite,6338.0,1059461.0,2023-08-03,The Division 2,470.0,78579.0,2023-08-03,Call of Duty: Warzone,31363.0,5248093.0,2023-08-03,,,,
2023-08-03,Team Fortress 2,81173.0,Star Wars Jedi: Survivor,262.0,43736.0,2023-08-03,2023-08-03,Grand Theft Auto V,14K,,,,,Among Us,4111.0,687203.0,2023-08-03,Assasins Creed Valhalla,148.0,24729.0,2023-08-03,Overwatch 2,18377.0,3075084.0,2023-08-03,,,,
2023-08-03,Source SDK Base 2007,72046.0,The Sims 4,262.0,43736.0,2023-08-03,2023-08-03,Bejeweled 3,13K,,,,,Rocket League,4111.0,687203.0,2023-08-03,Assasin Creed Mirage,0.0,0.0,2023-08-03,Diablo IV,18377.0,3075084.0,2023-08-03,,,,
2023-08-03,Unturned,65710.0,Madden NFL 23,907.0,151693.0,2023-08-03,2023-08-03,PUBG Mobile,9.8K,,,,,GTA V,190781.0,31924067.0,2023-08-03,Watch Dogs: Legion,61.0,10206.0,2023-08-03,World of Warcraft,26170.0,4379071.0,2023-08-03,,,,
2023-08-03,Call of Duty®,59310.0,Battlefield 2042,944.0,157985.0,2023-08-03,2023-08-03,MapleStory,9.2K,,,,,League of Legends,149493.0,25015190.0,2023-08-03,,,,,Call of Duty: Modern Warfare II,10557.0,1766463.0,2023-08-03,,,,
2023-08-03,Rust,47516.0,NHL 23,258.0,43103.0,2023-08-03,2023-08-03,eFootball 2023,8.5K,,,,,Valorant,90608.0,15161709.0,2023-08-03,,,,,Call of Duty: Warzone,31363.0,5248093.0,2023-08-03,,,,
